Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2011-04-11 00:00:00+10:00,7.285732725586545,7.285732725586545,7.262200355529785,7.262200355529785,4035,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-12 00:00:00+10:00,7.2669071498759195,7.2669071498759195,7.219841957092285,7.219841957092285,181360,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-13 00:00:00+10:00,7.191606521606445,7.191606521606445,7.191606521606445,7.191606521606445,3000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-14 00:00:00+10:00,7.191603713120957,7.201017022599423,7.158658027648926,7.158658027648926,203298,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-15 00:00:00+10:00,7.12100573994042,7.1257123947143555,7.1068862244699185,7.1257123947143555,2000,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-18 00:00:00+10:00,7.149245738983154,7.149245738983154,7.149245738983154,7.149245738983154,1970,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-19 00:00:00+10:00,7.078647817626665,7.083354473114014,7.073941162139318,7.083354473114014,10252,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-20 00:00:00+10:00,7.139832877011964,7.149245738983154,7.139832877011964,7.149245738983154,9989,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-21 00:00:00+10:00,7.243374824523926,7.243374824523926,7.243374824523926,7.243374824523926,556,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-27 00:00:00+10:00,7.262200944793412,7.309266137577047,7.219841957092285,7.219841957092285,2496,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-04-28 00:00:00+10:00,7.224548611026016,7.224548611026016,7.219841957092285,7.219841957092285,6805,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
